n_estimators,oob_score,oob_error
300,0.6333333333333333,0.3666666666666667
350,0.6325396825396825,0.3674603174603175
250,0.6309523809523809,0.36904761904761907
1000,0.6301587301587301,0.36984126984126986
950,0.6285714285714286,0.37142857142857144
200,0.6277777777777778,0.37222222222222223
900,0.626984126984127,0.373015873015873
850,0.626984126984127,0.373015873015873
100,0.6261904761904762,0.3738095238095238
400,0.6253968253968254,0.3746031746031746
750,0.6253968253968254,0.3746031746031746
150,0.6246031746031746,0.3753968253968254
450,0.6246031746031746,0.3753968253968254
800,0.6246031746031746,0.3753968253968254
550,0.6238095238095238,0.3761904761904762
600,0.6238095238095238,0.3761904761904762
500,0.623015873015873,0.376984126984127
700,0.6214285714285714,0.37857142857142856
650,0.6206349206349207,0.37936507936507935
50,0.6103174603174604,0.38968253968253963
