n_estimators,oob_score,oob_error
250,0.6914556962025317,0.30854430379746833
700,0.6914556962025317,0.30854430379746833
1000,0.6906645569620253,0.30933544303797467
950,0.6906645569620253,0.30933544303797467
900,0.689873417721519,0.310126582278481
750,0.6890822784810127,0.31091772151898733
200,0.6882911392405063,0.31170886075949367
800,0.6882911392405063,0.31170886075949367
400,0.6882911392405063,0.31170886075949367
600,0.6882911392405063,0.31170886075949367
850,0.6875,0.3125
500,0.6875,0.3125
650,0.6867088607594937,0.31329113924050633
450,0.6859177215189873,0.31408227848101267
350,0.6859177215189873,0.31408227848101267
550,0.6859177215189873,0.31408227848101267
150,0.6843354430379747,0.31566455696202533
300,0.6835443037974683,0.31645569620253167
100,0.6811708860759493,0.31882911392405067
50,0.6787974683544303,0.32120253164556967
