,precision,recall,f1-score,support
Inconclusive,0.6168831168831169,0.6985294117647058,0.6551724137931034,136.0
Match,0.703125,0.6081081081081081,0.6521739130434783,74.0
NonMatch,0.7070707070707071,0.6542056074766355,0.6796116504854369,107.0
accuracy,0.6624605678233438,0.6624605678233438,0.6624605678233438,0.6624605678233438
macro avg,0.6756929413179414,0.6536143757831497,0.6623193257740062,317.0
weighted avg,0.6674571594721437,0.6624605678233438,0.6627216543943888,317.0
