,precision,recall,f1-score,support
Inconclusive,0.6549295774647887,0.6992481203007519,0.6763636363636364,133.0
Match,0.7777777777777778,0.6021505376344086,0.6787878787878788,93.0
NonMatch,0.5742574257425742,0.651685393258427,0.6105263157894737,89.0
accuracy,0.6571428571428571,0.6571428571428571,0.6571428571428571,0.6571428571428571
macro avg,0.6689882603283803,0.6510280170645292,0.6552259436469963,315.0
weighted avg,0.6684059619912359,0.6571428571428571,0.6584777094250779,315.0
