n_estimators,oob_score,oob_error
150,0.5952380952380952,0.40476190476190477
250,0.5944444444444444,0.40555555555555556
100,0.5920634920634921,0.40793650793650793
50,0.5912698412698413,0.4087301587301587
200,0.5904761904761905,0.4095238095238095
300,0.5888888888888889,0.4111111111111111
400,0.5873015873015873,0.4126984126984127
450,0.5841269841269842,0.41587301587301584
500,0.5833333333333334,0.41666666666666663
350,0.5817460317460318,0.4182539682539682
550,0.580952380952381,0.419047619047619
600,0.580952380952381,0.419047619047619
700,0.5801587301587302,0.4198412698412698
650,0.5793650793650794,0.4206349206349206
750,0.5777777777777777,0.4222222222222223
950,0.5769841269841269,0.42301587301587307
1000,0.5761904761904761,0.42380952380952386
800,0.5753968253968254,0.42460317460317465
900,0.5753968253968254,0.42460317460317465
850,0.5746031746031746,0.42539682539682544
