n_estimators,oob_score,oob_error
150,0.6518987341772152,0.3481012658227848
400,0.6518987341772152,0.3481012658227848
350,0.6511075949367089,0.3488924050632911
250,0.6495253164556962,0.3504746835443038
100,0.6471518987341772,0.3528481012658228
450,0.6471518987341772,0.3528481012658228
300,0.6463607594936709,0.3536392405063291
850,0.6455696202531646,0.35443037974683544
550,0.6455696202531646,0.35443037974683544
650,0.6455696202531646,0.35443037974683544
500,0.6447784810126582,0.3552215189873418
800,0.6439873417721519,0.3560126582278481
600,0.6439873417721519,0.3560126582278481
750,0.6431962025316456,0.35680379746835444
50,0.6431962025316456,0.35680379746835444
200,0.6424050632911392,0.3575949367088608
900,0.6424050632911392,0.3575949367088608
700,0.6424050632911392,0.3575949367088608
1000,0.6408227848101266,0.35917721518987344
950,0.6392405063291139,0.3607594936708861
