,precision,recall,f1-score,support
Inconclusive,0.5833333333333334,0.6842105263157895,0.629757785467128,133.0
Match,0.7325581395348837,0.6774193548387096,0.7039106145251397,93.0
NonMatch,0.6164383561643836,0.5056179775280899,0.5555555555555556,89.0
accuracy,0.6317460317460317,0.6317460317460317,0.6317460317460317,0.6317460317460317
macro avg,0.6441099430108669,0.6224159528941963,0.6297413185159411,315.0
weighted avg,0.6367436635197069,0.6317460317460317,0.6306854509917793,315.0
