,precision,recall,f1-score,support
Inconclusive,0.631578947368421,0.5294117647058824,0.576,136.0
Match,0.5934065934065934,0.7297297297297297,0.6545454545454545,74.0
NonMatch,0.6607142857142857,0.6915887850467289,0.6757990867579908,107.0
accuracy,0.6309148264984227,0.6309148264984227,0.6309148264984227,0.6309148264984227
macro avg,0.6285666088297667,0.6502434264941136,0.6354481804344817,317.0
weighted avg,0.6325023764215197,0.6309148264984227,0.6280216590519515,317.0
