,precision,recall,f1-score,support
Inconclusive,0.6106870229007634,0.5882352941176471,0.599250936329588,136.0
Match,0.7428571428571429,0.7027027027027027,0.7222222222222222,74.0
NonMatch,0.5948275862068966,0.6448598130841121,0.6188340807174888,107.0
accuracy,0.6340694006309149,0.6340694006309149,0.6340694006309149,0.6340694006309149
macro avg,0.6494572506549343,0.6452659366348207,0.646769079756433,317.0
weighted avg,0.6361874303156793,0.6340694006309149,0.634567250542712,317.0
