,precision,recall,f1-score,support
Inconclusive,0.6950354609929078,0.7368421052631579,0.7153284671532847,133.0
Match,0.7272727272727273,0.6881720430107527,0.7071823204419889,93.0
NonMatch,0.6395348837209303,0.6179775280898876,0.6285714285714286,89.0
accuracy,0.6888888888888889,0.6888888888888889,0.6888888888888889,0.6888888888888889
macro avg,0.6872810239955219,0.6809972254545994,0.6836940720555674,315.0
weighted avg,0.6888720146018514,0.6888888888888889,0.688411108175711,315.0
