,precision,recall,f1-score,support
Inconclusive,0.6666666666666666,0.6617647058823529,0.6642066420664207,136.0
Match,0.72,0.7297297297297297,0.7248322147651006,74.0
NonMatch,0.6822429906542056,0.6822429906542056,0.6822429906542056,107.0
accuracy,0.6845425867507886,0.6845425867507886,0.6845425867507886,0.6845425867507886
macro avg,0.6896365524402907,0.6912458087554295,0.6904272824952423,317.0
weighted avg,0.6843743427970557,0.6845425867507886,0.6844469628190873,317.0
