,precision,recall,f1-score,support
Inconclusive,0.6528925619834711,0.5939849624060151,0.6220472440944882,133.0
Match,0.6979166666666666,0.7204301075268817,0.708994708994709,93.0
NonMatch,0.5714285714285714,0.6292134831460674,0.5989304812834224,89.0
accuracy,0.6412698412698413,0.6412698412698413,0.6412698412698413,0.6412698412698413
macro avg,0.6407459333595698,0.6478761843596547,0.6433241447908732,315.0
weighted avg,0.6431685828601414,0.6412698412698413,0.641186045191427,315.0
