mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__n_estimators,param_rf__min_samples_split,param_rf__min_samples_leaf,param_rf__max_features,param_rf__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.2046046257019043,0.08644462323519184,0.08057050704956055,0.008621047425524395,400,5,4,0.5,20,"{'rf__n_estimators': 400, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 4, 'rf__max_features': 0.5, 'rf__max_depth': 20}",0.6652440232818364,0.6573313698049582,0.633732441818276,0.5941149029974298,0.6544125400872148,0.640967055597943,0.025633598391114353,18,0.7376005174664049,0.7068265760334974,0.7292282401932079,0.7347471801525608,0.7216604010598174,0.7260125829810977,0.01102686006765828
1.1920915603637696,0.11898921321283204,0.13225998878479003,0.049537649401783276,600,2,4,sqrt,20,"{'rf__n_estimators': 600, 'rf__min_samples_split': 2, 'rf__min_samples_leaf': 4, 'rf__max_features': 'sqrt', 'rf__max_depth': 20}",0.6139983718569063,0.6282180979995793,0.5741747235358146,0.6090767452992704,0.6311535813312986,0.6113243040045738,0.02035138325944125,26,0.6510580886658782,0.6316641979844836,0.6397465486292117,0.6519609756844374,0.6423471176684016,0.6433553857264825,0.007538063300175725
2.170148468017578,0.08687154949787532,0.17149367332458496,0.03477148148163891,800,10,4,0.5,40,"{'rf__n_estimators': 800, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 4, 'rf__max_features': 0.5, 'rf__max_depth': 40}",0.6683021272573716,0.6634475777560285,0.6276162338672058,0.5910567990218946,0.6544125400872148,0.640967055597943,0.0286448572160883,18,0.7371624699069556,0.7073752358644024,0.725509907261753,0.7267871153927118,0.7224081577896281,0.7238485772430902,0.009613537810122953
1.2999824047088624,0.2033319404954845,0.15521140098571778,0.05701064630697769,400,2,1,sqrt,40,"{'rf__n_estimators': 400, 'rf__min_samples_split': 2, 'rf__min_samples_leaf': 1, 'rf__max_features': 'sqrt', 'rf__max_depth': 40}",0.6901753455230638,0.6430433470231507,0.6460331543595513,0.606019860906577,0.6373950909057075,0.6445333597436101,0.026914326528305752,11,0.8477967489943469,0.8604672124559368,0.8478220099283126,0.8601237020281468,0.8518982806930889,0.8536215908199664,0.0056510831590436345
1.8123285293579101,0.13458607994897484,0.15321750640869142,0.05176045941634067,600,2,2,0.5,20,"{'rf__n_estimators': 600, 'rf__min_samples_split': 2, 'rf__min_samples_leaf': 2, 'rf__max_features': 0.5, 'rf__max_depth': 20}",0.6752817998603579,0.6717584250307183,0.6581972736225574,0.611600062198725,0.6455086811693991,0.6524692483763516,0.022995803917667156,6,0.798358804775082,0.7926084976250894,0.7907646408163109,0.7989181813658511,0.7953979041468866,0.7952096057458441,0.003169540049393113
2.749547004699707,0.233596704863549,0.23593482971191407,0.06603915606529133,1000,5,1,log2,,"{'rf__n_estimators': 1000, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 1, 'rf__max_features': 'log2', 'rf__max_depth': None}",0.6731578963415563,0.6461014509986859,0.6569356151728302,0.6090096682429775,0.6246682918659396,0.6419745845243979,0.022801122217414316,14,0.8477913906144149,0.8585064281422113,0.8436773030508319,0.8543699502053408,0.8501536674380529,0.8508997478901703,0.005143658600977815
3.355441951751709,0.1902992690870109,0.2550323963165283,0.048011407956199056,1000,10,1,0.5,40,"{'rf__n_estimators': 1000, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 1, 'rf__max_features': 0.5, 'rf__max_depth': 40}",0.6919034944097371,0.638258313743784,0.6839225442937243,0.6064180547043884,0.6350751499587497,0.6511155114220767,0.03212607765378633,7,0.8423461283791284,0.8486952344865332,0.8376960114516233,0.8495659712254997,0.8402849555309606,0.843717660214749,0.0046669862257836675
1.556016445159912,0.16617111553169986,0.1715163230895996,0.07155633221775086,600,2,4,0.5,10,"{'rf__n_estimators': 600, 'rf__min_samples_split': 2, 'rf__min_samples_leaf': 4, 'rf__max_features': 0.5, 'rf__max_depth': 10}",0.6713602312329067,0.6608559642174394,0.6211042712840074,0.5923879736935982,0.6609964580580728,0.6413409796972048,0.02991404044047948,15,0.7319384322145801,0.6870989348306179,0.7129850769118891,0.7154459128957068,0.7029207484579899,0.7100778210621568,0.014794646107088921
1.4566714286804199,0.138490168626272,0.07961020469665528,0.027012775364112174,600,2,4,0.5,40,"{'rf__n_estimators': 600, 'rf__min_samples_split': 2, 'rf__min_samples_leaf': 4, 'rf__max_features': 0.5, 'rf__max_depth': 40}",0.674418335208442,0.6603894737804934,0.6276162338672058,0.5879986950463594,0.6544125400872148,0.6409670555979431,0.030531593961656778,17,0.7414231474358238,0.7066107098705187,0.7261754945976048,0.733218128164793,0.7216604010598174,0.7258175762257115,0.011701418272192768
1.0278078079223634,0.04591645007096498,0.13568978309631347,0.026494551803568397,600,10,2,log2,30,"{'rf__n_estimators': 600, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 2, 'rf__max_features': 'log2', 'rf__max_depth': 30}",0.6314140148362253,0.6343343059506495,0.5924538311670493,0.6051551766718194,0.6381332539342849,0.6202981165120056,0.018128887388686177,22,0.6924209543274659,0.677262480240974,0.6746584989646845,0.698104473099019,0.6883116704931078,0.6861516154250502,0.008921319465604267
